Statistic Label,Month,Airport,VALUE,Year
Passengers,5,Kerry,40825,2023
Passengers,6,Dublin,3218315,2023
Passengers,6,Cork,279671,2023
Passengers,6,Shannon,196179,2023
Passengers,6,Knock,81927,2023
Passengers,6,Kerry,35828,2023
Passengers,7,Dublin,3425253,2023
Passengers,7,Cork,300228,2023
Passengers,7,Shannon,0,2023
Passengers,7,Knock,91189,2023
Passengers,7,Kerry,45902,2023
Passengers,8,Dublin,3419986,2023
Passengers,8,Cork,307117,2023
Passengers,8,Shannon,0,2023
Passengers,8,Knock,101736,2023
Passengers,8,Kerry,0,2023
