Statistic Label,Month,Airport,VALUE,Year
Passengers,2023 February,Kerry,24612,2023
Passengers,2023 March,Dublin,2459390,2023
Passengers,2023 March,Cork,180655,2023
Passengers,2023 March,Shannon,126318,2023
Passengers,2023 March,Knock,51206,2023
Passengers,2023 March,Kerry,26172,2023
Passengers,2023 April,Dublin,2811699,2023
Passengers,2023 April,Cork,249691,2023
Passengers,2023 April,Shannon,171325,2023
Passengers,2023 April,Knock,76913,2023
Passengers,2023 April,Kerry,40955,2023
Passengers,2023 May,Dublin,3027112,2023
Passengers,2023 May,Cork,262358,2023
Passengers,2023 May,Shannon,178919,2023
Passengers,2023 May,Knock,71170,2023
Passengers,2023 May,Kerry,40825,2023
Passengers,2023 June,Dublin,3218315,2023
Passengers,2023 June,Cork,279671,2023
Passengers,2023 June,Shannon,196179,2023
Passengers,2023 June,Knock,81927,2023
Passengers,2023 June,Kerry,35828,2023
Passengers,2023 July,Dublin,3425253,2023
Passengers,2023 July,Cork,300228,2023
Passengers,2023 July,Shannon,0,2023
Passengers,2023 July,Knock,91189,2023
Passengers,2023 July,Kerry,45902,2023
Passengers,2023 August,Dublin,3419986,2023
Passengers,2023 August,Cork,307117,2023
Passengers,2023 August,Shannon,0,2023
Passengers,2023 August,Knock,101736,2023
Passengers,2023 August,Kerry,0,2023
