Statistic Label,Month,Airport,VALUE,Year
Passengers,2020 November,Kerry,1342.0,2020
Passengers,2020 December,Dublin,281302.0,2020
Passengers,2020 December,Cork,8639.0,2020
Passengers,2020 December,Shannon,2247.0,2020
Passengers,2020 December,Knock,1044.0,2020
Passengers,2020 December,Kerry,1890.0,2020
Passengers,2021 January,Dublin,199133.0,2021
Passengers,2021 January,Cork,4849.0,2021
Passengers,2021 January,Shannon,1214.0,2021
Passengers,2021 January,Knock,619.0,2021
Passengers,2021 January,Kerry,1065.0,2021
Passengers,2021 February,Dublin,95802.0,2021
Passengers,2021 February,Cork,1478.0,2021
Passengers,2021 February,Shannon,441.0,2021
Passengers,2021 February,Knock,0.0,2021
Passengers,2021 February,Kerry,406.0,2021
Passengers,2021 March,Dublin,110177.0,2021
Passengers,2021 March,Cork,2599.0,2021
Passengers,2021 March,Shannon,667.0,2021
Passengers,2021 March,Knock,0.0,2021
Passengers,2021 March,Kerry,517.0,2021
Passengers,2021 April,Dublin,120002.0,2021
Passengers,2021 April,Cork,3796.0,2021
Passengers,2021 April,Shannon,186.0,2021
Passengers,2021 April,Knock,0.0,2021
Passengers,2021 April,Kerry,667.0,2021
Passengers,2021 May,Dublin,150855.0,2021
Passengers,2021 May,Cork,6956.0,2021
Passengers,2021 May,Shannon,369.0,2021
Passengers,2021 May,Knock,0.0,2021
Passengers,2021 May,Kerry,935.0,2021
Passengers,2021 June,Dublin,283892.0,2021
Passengers,2021 June,Cork,14179.0,2021
Passengers,2021 June,Shannon,9734.0,2021
Passengers,2021 June,Knock,2077.0,2021
Passengers,2021 June,Kerry,2699.0,2021
Passengers,2021 July,Dublin,638986.0,2021
Passengers,2021 July,Cork,32001.0,2021
Passengers,2021 July,Shannon,23859.0,2021
Passengers,2021 July,Knock,9505.0,2021
Passengers,2021 July,Kerry,5380.0,2021
Passengers,2021 August,Dublin,1233212.0,2021
Passengers,2021 August,Cork,73640.0,2021
Passengers,2021 August,Shannon,47540.0,2021
Passengers,2021 August,Knock,25307.0,2021
Passengers,2021 August,Kerry,20811.0,2021
Passengers,2021 September,Dublin,1330636.0,2021
Passengers,2021 September,Cork,28168.0,2021
Passengers,2021 September,Shannon,53895.0,2021
Passengers,2021 September,Knock,34333.0,2021
Passengers,2021 September,Kerry,19235.0,2021
Passengers,2021 October,Dublin,1543404.0,2021
Passengers,2021 October,Cork,0.0,2021
Passengers,2021 October,Shannon,71853.0,2021
Passengers,2021 October,Knock,42943.0,2021
Passengers,2021 October,Kerry,27229.0,2021
Passengers,2021 November,Dublin,1382610.0,2021
Passengers,2021 November,Cork,14933.0,2021
Passengers,2021 November,Shannon,63560.0,2021
Passengers,2021 November,Knock,33438.0,2021
Passengers,2021 November,Kerry,21588.0,2021
Passengers,2021 December,Dublin,1177562.0,2021
Passengers,2021 December,Cork,72415.0,2021
Passengers,2021 December,Shannon,48844.0,2021
Passengers,2021 December,Knock,25805.0,2021
Passengers,2021 December,Kerry,14866.0,2021
Passengers,2022 January,Dublin,969467.0,2022
Passengers,2022 January,Cork,65166.0,2022
Passengers,2022 January,Shannon,42015.0,2022
Passengers,2022 January,Knock,13820.0,2022
Passengers,2022 January,Kerry,7158.0,2022
Passengers,2022 February,Dublin,1313651.0,2022
Passengers,2022 February,Cork,96947.0,2022
Passengers,2022 February,Shannon,57910.0,2022
Passengers,2022 February,Knock,32660.0,2022
Passengers,2022 February,Kerry,15579.0,2022
Passengers,2022 March,Dublin,1816453.0,2022
Passengers,2022 March,Cork,126210.0,2022
Passengers,2022 March,Shannon,81286.0,2022
Passengers,2022 March,Knock,39901.0,2022
Passengers,2022 March,Kerry,22099.0,2022
Passengers,2022 April,Dublin,2369756.0,2022
Passengers,2022 April,Cork,192275.0,2022
Passengers,2022 April,Shannon,123923.0,2022
Passengers,2022 April,Knock,69961.0,2022
Passengers,2022 April,Kerry,33828.0,2022
Passengers,2022 May,Dublin,2582957.0,2022
Passengers,2022 May,Cork,204036.0,2022
Passengers,2022 May,Shannon,135026.0,2022
Passengers,2022 May,Knock,63041.0,2022
Passengers,2022 May,Kerry,33047.0,2022
Passengers,2022 June,Dublin,2826982.0,2022
Passengers,2022 June,Cork,248904.0,2022
Passengers,2022 June,Shannon,148990.0,2022
Passengers,2022 June,Knock,67026.0,2022
Passengers,2022 June,Kerry,35218.0,2022
Passengers,2022 July,Dublin,3038562.0,2022
Passengers,2022 July,Cork,265597.0,2022
Passengers,2022 July,Shannon,164397.0,2022
Passengers,2022 July,Knock,86617.0,2022
Passengers,2022 July,Kerry,40073.0,2022
Passengers,2022 August,Dublin,3045763.0,2022
Passengers,2022 August,Cork,269799.0,2022
Passengers,2022 August,Shannon,159082.0,2022
Passengers,2022 August,Knock,92213.0,2022
Passengers,2022 August,Kerry,41433.0,2022
Passengers,2022 September,Dublin,2756408.0,2022
Passengers,2022 September,Cork,232410.0,2022
Passengers,2022 September,Shannon,141557.0,2022
